symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
FB,2019-05-31 00:00:00+00:00,177.47,180.54,177.16,180.28,15226536,177.47,180.54,177.16,180.28,15226536,0.0,1.0
FB,2019-06-03 00:00:00+00:00,164.15,175.05,161.01,175.0,56059609,164.15,175.05,161.01,175.0,56059609,0.0,1.0
FB,2019-06-04 00:00:00+00:00,167.5,168.28,160.84,163.71,46044256,167.5,168.28,160.84,163.71,46044256,0.0,1.0
FB,2019-06-05 00:00:00+00:00,168.17,168.72,164.63,167.48,19758317,168.17,168.72,164.63,167.48,19758317,0.0,1.0
FB,2019-06-06 00:00:00+00:00,168.33,169.7,167.23,168.3,12446354,168.33,169.7,167.23,168.3,12446354,0.0,1.0
FB,2019-06-07 00:00:00+00:00,173.35,173.87,168.84,170.17,16917343,173.35,173.87,168.84,170.17,16917343,0.0,1.0
FB,2019-06-10 00:00:00+00:00,174.82,177.86,173.8,174.75,14767918,174.82,177.86,173.8,174.75,14767918,0.0,1.0
FB,2019-06-11 00:00:00+00:00,178.1,179.98,176.79,178.48,15266644,178.1,179.98,176.79,178.48,15266644,0.0,1.0
FB,2019-06-12 00:00:00+00:00,175.04,179.27,172.88,178.38,17699806,175.04,179.27,172.88,178.38,17699806,0.0,1.0
FB,2019-06-13 00:00:00+00:00,177.47,178.03,174.606,175.53,12253569,177.47,178.03,174.606,175.53,12253569,0.0,1.0
FB,2019-06-14 00:00:00+00:00,181.33,181.8398,180.0,180.51,16773691,181.33,181.8398,180.0,180.51,16773691,0.0,1.0
FB,2019-06-17 00:00:00+00:00,189.01,189.5,184.4105,185.01,29459881,189.01,189.5,184.4105,185.01,29459881,0.0,1.0
FB,2019-06-18 00:00:00+00:00,188.47,194.53,187.28,194.0,37571352,188.47,194.53,187.28,194.0,37571352,0.0,1.0
FB,2019-06-19 00:00:00+00:00,187.48,188.1,184.55,187.0,21417092,187.48,188.1,184.55,187.0,21417092,0.0,1.0
FB,2019-06-20 00:00:00+00:00,189.53,191.16,187.64,190.95,14635740,189.53,191.16,187.64,190.95,14635740,0.0,1.0
FB,2019-06-21 00:00:00+00:00,191.14,192.0,188.75,188.75,22751159,191.14,192.0,188.75,188.75,22751159,0.0,1.0
FB,2019-06-24 00:00:00+00:00,192.6,193.98,191.57,192.42,15508955,192.6,193.98,191.57,192.42,15508955,0.0,1.0
FB,2019-06-25 00:00:00+00:00,188.84,193.14,188.13,192.88,16750309,188.84,193.14,188.13,192.88,16750309,0.0,1.0
FB,2019-06-26 00:00:00+00:00,187.66,190.76,187.31,189.54,12808604,187.66,190.76,187.31,189.54,12808604,0.0,1.0
FB,2019-06-27 00:00:00+00:00,189.5,189.95,188.27,189.88,11158983,189.5,189.95,188.27,189.88,11158983,0.0,1.0
FB,2019-06-28 00:00:00+00:00,193.0,193.2,189.94,190.55,16378878,193.0,193.2,189.94,190.55,16378878,0.0,1.0
FB,2019-07-01 00:00:00+00:00,193.0,195.28,191.93,195.21,14204690,193.0,195.28,191.93,195.21,14204690,0.0,1.0
FB,2019-07-02 00:00:00+00:00,195.0,195.0,192.71,193.0,9049979,195.0,195.0,192.71,193.0,9049979,0.0,1.0
FB,2019-07-03 00:00:00+00:00,197.2,197.4,194.16,194.16,10246119,197.2,197.4,194.16,194.16,10246119,0.0,1.0
FB,2019-07-05 00:00:00+00:00,196.4,197.07,194.17,196.18,11164107,196.4,197.07,194.17,196.18,11164107,0.0,1.0
FB,2019-07-08 00:00:00+00:00,195.76,196.68,193.64,195.19,9723858,195.76,196.68,193.64,195.19,9723858,0.0,1.0
FB,2019-07-09 00:00:00+00:00,199.21,199.46,194.89,194.97,14698611,199.21,199.46,194.89,194.97,14698611,0.0,1.0
FB,2019-07-10 00:00:00+00:00,202.73,202.96,199.67,200.0,20571702,202.73,202.96,199.67,200.0,20571702,0.0,1.0
FB,2019-07-11 00:00:00+00:00,201.23,203.8,200.21,203.26,13678457,201.23,203.8,200.21,203.26,13678457,0.0,1.0
FB,2019-07-12 00:00:00+00:00,204.87,205.3,199.16,199.68,15366272,204.87,205.3,199.16,199.68,15366272,0.0,1.0
FB,2019-07-15 00:00:00+00:00,203.91,205.33,201.82,204.25,16030335,203.91,205.33,201.82,204.25,16030335,0.0,1.0
FB,2019-07-16 00:00:00+00:00,203.84,205.4707,203.1,203.89,12132720,203.84,205.4707,203.1,203.89,12132720,0.0,1.0
